id,Country,mining&extraction,exporter id,exporter,importer id,importer,1st post-trade,id,Country,refining&processing,exporter id,exporter,importer id,importer,2nd post-trade,id,Country,manufacturing
842.0,USA,17500.0,36.0,Australia,156.0,China,26697.82965,156.0,China,167000.0,156.0,China,156.0,China,156332.90999839306,156.0,China,82642.66623999999
36.0,Australia,155000.0,36.0,Australia,392.0,Japan,2.3183409,246.0,Finland,8000.0,156.0,China,392.0,Japan,518.984045,392.0,Japan,23694.11386752
76.0,Brazil,88500.0,36.0,Australia,410.0,Rep. of Korea,0.003315,251.0,France,1000.0,156.0,China,410.0,Rep. of Korea,978.9901432,410.0,Rep. of Korea,39490.18977919999
124.0,Canada,143000.0,36.0,Australia,993.0,TTCR,128299.8486941,392.0,Japan,17000.0,156.0,China,998.0,NCPC,9169.115813407001,,,
156.0,China,114000.0,76.0,Brazil,156.0,China,6279.704999999999,579.0,Norway,8000.0,156.0,China,999.0,NBCP,897545.9427902291,,,
360.0,Indonesia,1580000.0,76.0,Brazil,246.0,Finland,4865.628,410.0,Rep. of Korea,12000.0,246.0,Finland,156.0,China,35279.838840000004,,,
540.0,New Caledonia,200000.0,76.0,Brazil,710.0,South Africa,0.153,710.0,South Africa,6000.0,246.0,Finland,392.0,Japan,10294.491,,,
608.0,Philippines,345000.0,76.0,Brazil,993.0,TTCR,77354.51399999998,826.0,United Kingdom,8000.0,246.0,Finland,410.0,Rep. of Korea,5636.089996,,,
643.0,Russian Federation,222000.0,124.0,Canada,156.0,China,1236.5205,,,,246.0,Finland,998.0,NCPC,80124.23067271999,,,
986.0,Other,404000.0,124.0,Canada,246.0,Finland,12354.750568049998,,,,251.0,France,156.0,China,1.290515,,,
,,,124.0,Canada,410.0,Rep. of Korea,0.0037484999999999,,,,251.0,France,392.0,Japan,0.970125,,,
,,,124.0,Canada,710.0,South Africa,0.09765,,,,251.0,France,410.0,Rep. of Korea,0.25235,,,
,,,124.0,Canada,993.0,TTCR,129408.62753344995,,,,251.0,France,998.0,NCPC,3454.105711355,,,
,,,156.0,China,156.0,China,112411.87046999998,,,,392.0,Japan,156.0,China,5636.84233,,,
,,,156.0,China,246.0,Finland,0.01755,,,,392.0,Japan,410.0,Rep. of Korea,2160.208039015,,,
,,,156.0,China,251.0,France,0.0387,,,,392.0,Japan,998.0,NCPC,15799.454116534,,,
,,,156.0,China,410.0,Rep. of Korea,0.0068849999999999,,,,392.0,Japan,999.0,NBCP,157242.31864548003,,,
,,,156.0,China,710.0,South Africa,0.0003,,,,410.0,Rep. of Korea,156.0,China,1699.7362010000002,,,
,,,156.0,China,993.0,TTCR,1588.066095,,,,410.0,Rep. of Korea,392.0,Japan,5910.7879,,,
,,,156.0,China,997.0,NTRM,5948144.623600299,,,,410.0,Rep. of Korea,410.0,Rep. of Korea,1242.1501646950012,,,
,,,246.0,Finland,997.0,NTRM,10554.941765349999,,,,410.0,Rep. of Korea,998.0,NCPC,3147.325734305,,,
,,,360.0,Indonesia,156.0,China,163076.925,,,,410.0,Rep. of Korea,999.0,NBCP,18311.58736359902,,,
,,,360.0,Indonesia,993.0,TTCR,1416923.0750000002,,,,579.0,Norway,156.0,China,8995.746,,,
,,,392.0,Japan,997.0,NTRM,359002.8183409,,,,579.0,Norway,392.0,Japan,3318.078,,,
,,,410.0,Rep. of Korea,997.0,NTRM,385992.9607845,,,,579.0,Norway,410.0,Rep. of Korea,3265.9806000000003,,,
,,,540.0,New Caledonia,156.0,China,403944.6,,,,579.0,Norway,998.0,NCPC,48746.117842342996,,,
,,,540.0,New Caledonia,251.0,France,0.0538499999999999,,,,710.0,South Africa,156.0,China,6180.55788,,,
,,,540.0,New Caledonia,392.0,Japan,220443.0,,,,710.0,South Africa,392.0,Japan,1351.1723359999999,,,
,,,540.0,New Caledonia,410.0,Rep. of Korea,360272.85,,,,710.0,South Africa,410.0,Rep. of Korea,850.33897808,,,
,,,540.0,New Caledonia,993.0,TTCR,26.04585,,,,710.0,South Africa,998.0,NCPC,23485.543659100003,,,
,,,608.0,Philippines,156.0,China,4984173.899999999,,,,826.0,United Kingdom,156.0,China,4663.1391005000005,,,
,,,608.0,Philippines,392.0,Japan,150495.0,,,,826.0,United Kingdom,392.0,Japan,3398.403315,,,
,,,608.0,Philippines,410.0,Rep. of Korea,16491.4275,,,,826.0,United Kingdom,410.0,Rep. of Korea,268.16792787500003,,,
,,,643.0,Russian Federation,156.0,China,35221.155,,,,826.0,United Kingdom,998.0,NCPC,28576.269535497,,,
,,,643.0,Russian Federation,410.0,Rep. of Korea,0.00014025,,,,992.0,TFCR,156.0,China,761398.548165336,,,
,,,643.0,Russian Federation,993.0,TTCR,186778.84485975004,,,,992.0,TFCR,392.0,Japan,156143.545792,,,
,,,842.0,USA,246.0,Finland,2.77185,,,,992.0,TFCR,410.0,Rep. of Korea,43399.598943934005,,,
,,,842.0,USA,251.0,France,0.00015,,,,,,,,,,,
,,,842.0,USA,410.0,Rep. of Korea,6e-05,,,,,,,,,,,
,,,842.0,USA,710.0,South Africa,7.1999999999985e-05,,,,,,,,,,,
,,,842.0,USA,826.0,United Kingdom,0.0003,,,,,,,,,,,
,,,842.0,USA,993.0,TTCR,17497.227568000006,,,,,,,,,,,
,,,986.0,Other,993.0,TTCR,404000.0,,,,,,,,,,,
,,,991.0,TFCM,156.0,China,382102.1179803,,,,,,,,,,,
,,,991.0,TFCM,246.0,Finland,1331.7737973,,,,,,,,,,,
,,,991.0,TFCM,251.0,France,0.02805,,,,,,,,,,,
,,,991.0,TFCM,392.0,Japan,5062.5,,,,,,,,,,,
,,,991.0,TFCM,410.0,Rep. of Korea,21228.669135750002,,,,,,,,,,,
,,,991.0,TFCM,710.0,South Africa,153.799602,,,,,,,,,,,
,,,991.0,TFCM,993.0,TTCR,188495.67217215,,,,,,,,,,,
,,,994.0,UARP,246.0,Finland,123334.65050871996,,,,,,,,,,,
,,,994.0,UARP,251.0,France,2456.618701355,,,,,,,,,,,
,,,994.0,UARP,392.0,Japan,6596.504485549001,,,,,,,,,,,
,,,994.0,UARP,579.0,Norway,56325.922442343,,,,,,,,,,,
,,,994.0,UARP,710.0,South Africa,25867.612853179995,,,,,,,,,,,
,,,994.0,UARP,826.0,United Kingdom,28905.979878871993,,,,,,,,,,,
,,,995.0,URMS,251.0,France,999.87925,,,,,,,,,,,
,,,995.0,URMS,579.0,Norway,8000.0,,,,,,,,,,,
,,,995.0,URMS,710.0,South Africa,5845.949376,,,,,,,,,,,
,,,995.0,URMS,826.0,United Kingdom,7999.9997,,,,,,,,,,,
