Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,92914.1137881,t
2020,826,United Kingdom,0.5466,t
2020,792,Türkiye,7.565999999999999,t
2020,724,Spain,857.394,t
2020,579,Norway,1212.0,t
2020,528,Netherlands,37.721999999999994,t
2020,504,Morocco,54.756,t
2020,484,Mexico,6321.72,t
2020,710,South Africa,31536.0,t
2020,380,Italy,0.0282,t
2020,344,"China, Hong Kong SAR",0.0032999999999999995,t
2020,276,Germany,1.0352999999999999,t
2020,266,Gabon,45802.2,t
2020,156,China,0.153,t
2020,76,Brazil,6806.91,t
2020,56,Belgium,275.8428,t
2020,458,Malaysia,0.23658809999999997,t
2021,504,Morocco,80.04,t
2021,528,Netherlands,197.382,t
2021,616,Poland,1.3413,t
2021,699,India,0.0006,t
2021,842,USA,0.31615590000000005,t
2021,724,Spain,40.36559999999999,t
2021,792,Türkiye,15.908999999999999,t
2021,484,Mexico,4253.5199999999995,t
2021,710,South Africa,65632.5,t
2021,458,Malaysia,0.48428519999999997,t
2021,380,Italy,0.47129999999999994,t
2021,392,Japan,0.122442,t
2021,276,Germany,5.5953,t
2021,266,Gabon,72305.4,t
2021,208,Denmark,9.216,t
2021,178,Congo,0.05159999999999999,t
2021,76,Brazil,4595.25,t
2021,56,Belgium,201.3312,t
2021,50,Bangladesh,0.0475149,t
2021,0,World,147339.986598,t
2021,442,Luxembourg,0.6423,t
2022,484,Mexico,0.0784569,t
2022,504,Morocco,73.572,t
2022,528,Netherlands,54.2784,t
2022,579,Norway,150.0,t
2022,702,Singapore,0.045766499999999995,t
2022,842,USA,0.6593385,t
2022,710,South Africa,60743.202,t
2022,724,Spain,53.199000000000005,t
2022,792,Türkiye,378.6954,t
2022,858,Uruguay,0.101994,t
2022,458,Malaysia,0.1464531,t
2022,703,Slovakia,123.71999999999998,t
2022,410,Rep. of Korea,0.028767599999999966,t
2022,699,India,0.4759722,t
2022,380,Italy,5.7876,t
2022,392,Japan,0.17522069999999998,t
2022,12,Algeria,0.006599999999999999,t
2022,36,Australia,0.0003,t
2022,50,Bangladesh,0.033998099999999996,t
2022,56,Belgium,198.6855,t
2022,76,Brazil,32.43,t
2022,0,World,155005.8017484,t
2022,266,Gabon,93150.822,t
2022,268,Georgia,0.0012,t
2022,276,Germany,7.1772,t
2022,156,China,0.07858079999999999,t
2022,288,Ghana,32.4,t
2023,842,USA,0.2249979,t
2023,504,Morocco,97.908,t
2023,528,Netherlands,49.85099999999999,t
2023,579,Norway,2376.9579,t
2023,616,Poland,7.104,t
2023,724,Spain,3070.7297999999996,t
2023,757,Switzerland,0.0228258,t
2023,792,Türkiye,362.6646,t
2023,826,United Kingdom,0.3228228,t
2023,458,Malaysia,0.07336889999999996,t
2023,710,South Africa,46953.9054,t
2023,392,Japan,0.10597709999999999,t
2023,699,India,0.6589893,t
2023,380,Italy,31.4412,t
2023,276,Germany,18.4509,t
2023,268,Georgia,0.0006,t
2023,266,Gabon,52139.166,t
2023,156,China,8.0526783,t
2023,100,Bulgaria,10.381499999999999,t
2023,76,Brazil,16.0415208,t
2023,56,Belgium,230.55599999999998,t
2023,50,Bangladesh,0.0472821,t
2023,32,Argentina,0.0126,t
2023,0,World,105374.8397445,t
2023,384,Côte d'Ivoire,0.1597812,t
2024,504,Morocco,14.779499999999999,t
2024,512,Oman,0.0013811999999999997,t
2024,528,Netherlands,47.4309,t
2024,579,Norway,0.06,t
2024,792,Türkiye,267.73370819999997,t
2024,642,Romania,28.326,t
2024,699,India,0.6091446,t
2024,710,South Africa,41712.9789,t
2024,724,Spain,19.9665,t
2024,484,Mexico,157.5,t
2024,616,Poland,7.226999999999999,t
2024,458,Malaysia,0.03315059999999997,t
2024,268,Georgia,0.0469635,t
2024,410,Rep. of Korea,0.10083360000000001,t
2024,392,Japan,0.29006879999999996,t
2024,380,Italy,0.66,t
2024,276,Germany,0.3114,t
2024,266,Gabon,49183.8901842,t
2024,178,Congo,0.0026999999999999997,t
2024,124,Canada,0.4569,t
2024,76,Brazil,42.885299999999994,t
2024,56,Belgium,41.0292,t
2024,0,World,91526.9779368,t
2024,842,USA,0.5807376,t
2024,414,Kuwait,0.0003,t
2024,899,"Areas, nes",0.07716390000000001,t
