reporterCode,cmdCode,status,rows,file,message,checked_at
24,260200,existing_file,5,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_24\24_260200_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
24,282090,existing_file,4,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_24\24_282090_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
24,811100,existing_file,4,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_24\24_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
32,260200,existing_file,4,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_32\32_260200_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
32,282010,existing_file,7,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_32\32_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
32,282090,existing_file,5,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_32\32_282090_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
32,811100,existing_file,5,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_32\32_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
51,282010,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_51\51_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
51,282090,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_51\51_282090_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
51,811100,existing_file,4,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_51\51_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
975,260200,existing_file,19,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_975\975_260200_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
975,282010,existing_file,14,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_975\975_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
975,282090,existing_file,18,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_975\975_282090_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
975,811100,existing_file,14,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_975\975_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
36,260200,existing_file,5,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_36\36_260200_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
36,282010,existing_file,7,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_36\36_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
36,282090,existing_file,8,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_36\36_282090_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
36,811100,existing_file,7,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_36\36_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
40,260200,existing_file,8,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_40\40_260200_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
40,282010,existing_file,9,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_40\40_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
40,282090,existing_file,9,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_40\40_282090_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
40,811100,existing_file,18,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_40\40_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
31,260200,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_31\31_260200_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
31,282010,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_31\31_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
31,282090,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_31\31_282090_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
31,811100,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_31\31_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
44,260200,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_44\44_260200_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
44,282010,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_44\44_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
48,282010,existing_file,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_48\48_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
48,811100,existing_file,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_48\48_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
52,282010,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_52\52_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:52
4,260200,no_data,0,,,2026-07-15T20:54:53
4,282010,no_data,0,,,2026-07-15T20:54:53
4,282090,no_data,0,,,2026-07-15T20:54:53
4,811100,no_data,0,,,2026-07-15T20:54:53
8,260200,no_data,0,,,2026-07-15T20:54:53
8,282010,no_data,0,,,2026-07-15T20:54:53
8,282090,no_data,0,,,2026-07-15T20:54:53
8,811100,no_data,0,,,2026-07-15T20:54:53
12,260200,no_data,0,,,2026-07-15T20:54:53
12,282010,no_data,0,,,2026-07-15T20:54:53
12,282090,no_data,0,,,2026-07-15T20:54:53
12,811100,no_data,0,,,2026-07-15T20:54:53
20,260200,no_data,0,,,2026-07-15T20:54:53
20,282010,no_data,0,,,2026-07-15T20:54:53
20,282090,no_data,0,,,2026-07-15T20:54:53
20,811100,no_data,0,,,2026-07-15T20:54:53
24,282010,no_data,0,,,2026-07-15T20:54:53
660,260200,no_data,0,,,2026-07-15T20:54:53
660,282010,no_data,0,,,2026-07-15T20:54:53
660,282090,no_data,0,,,2026-07-15T20:54:53
660,811100,no_data,0,,,2026-07-15T20:54:53
28,260200,no_data,0,,,2026-07-15T20:54:53
28,282010,no_data,0,,,2026-07-15T20:54:53
28,282090,no_data,0,,,2026-07-15T20:54:53
28,811100,no_data,0,,,2026-07-15T20:54:53
886,260200,no_data,0,,,2026-07-15T20:54:53
886,282010,no_data,0,,,2026-07-15T20:54:53
886,282090,no_data,0,,,2026-07-15T20:54:53
886,811100,no_data,0,,,2026-07-15T20:54:53
51,260200,no_data,0,,,2026-07-15T20:54:53
533,260200,no_data,0,,,2026-07-15T20:54:53
533,282010,no_data,0,,,2026-07-15T20:54:53
533,282090,no_data,0,,,2026-07-15T20:54:53
533,811100,no_data,0,,,2026-07-15T20:54:53
44,282090,no_data,0,,,2026-07-15T20:54:53
44,811100,no_data,0,,,2026-07-15T20:54:53
48,260200,no_data,0,,,2026-07-15T20:54:53
48,282090,no_data,0,,,2026-07-15T20:54:53
50,260200,no_data,0,,,2026-07-15T20:54:53
50,282010,no_data,0,,,2026-07-15T20:54:53
50,282090,no_data,0,,,2026-07-15T20:54:53
50,811100,no_data,0,,,2026-07-15T20:54:53
52,260200,no_data,0,,,2026-07-15T20:54:53
52,282090,no_data,0,,,2026-07-15T20:54:53
52,811100,no_data,0,,,2026-07-15T20:54:53
112,260200,no_data,0,,,2026-07-15T20:54:53
112,282010,no_data,0,,,2026-07-15T20:54:53
112,282090,no_data,0,,,2026-07-15T20:54:53
112,811100,no_data,0,,,2026-07-15T20:54:53
56,260200,existing_file,11,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_56\56_260200_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
56,282010,existing_file,12,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_56\56_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
56,282090,existing_file,12,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_56\56_282090_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
56,811100,existing_file,12,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_56\56_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
204,282010,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_204\204_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
60,282010,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_60\60_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
64,260200,existing_file,5,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_64\64_260200_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
64,282010,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_64\64_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
64,811100,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_64\64_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
68,260200,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_68\68_260200_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
68,282090,existing_file,5,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_68\68_282090_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
68,811100,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_68\68_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
70,260200,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_70\70_260200_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
70,282010,existing_file,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_70\70_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
70,282090,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_70\70_282090_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
70,811100,existing_file,5,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_70\70_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
72,260200,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_72\72_260200_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
72,282010,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_72\72_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
72,811100,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_72\72_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
76,260200,existing_file,9,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_76\76_260200_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
76,282010,existing_file,8,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_76\76_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
76,282090,existing_file,6,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_76\76_282090_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
76,811100,existing_file,10,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_76\76_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
96,282090,existing_file,4,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_96\96_282090_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
96,811100,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_96\96_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
100,260200,existing_file,4,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_100\100_260200_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
100,282010,existing_file,4,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_100\100_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
100,282090,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_100\100_282090_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
100,811100,existing_file,7,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_100\100_811100_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
108,282010,existing_file,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2022_Import_ByPartner\reporter_108\108_282010_M_2022_partners.csv,validated existing CSV,2026-07-15T20:54:53
