Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,69581.481,t
2020,842,USA,57.0,t
2020,784,United Arab Emirates,7940.187,t
2020,757,Switzerland,935.5799999999999,t
2020,724,Spain,8.549999999999999,t
2020,710,South Africa,6979.02,t
2020,729,Sudan,148.53,t
2020,699,India,3981.384,t
2020,512,Oman,331.848,t
2020,480,Mauritius,7590.999,t
2020,364,Iran,131.7,t
2020,156,China,39690.299999999996,t
2020,702,Singapore,1786.3829999999998,t
2021,710,South Africa,8127.782999999999,t
2021,842,USA,1128.6,t
2021,826,United Kingdom,87.99,t
2021,784,United Arab Emirates,1551.804,t
2021,724,Spain,44.699999999999996,t
2021,702,Singapore,45.0,t
2021,156,China,35279.991,t
2021,480,Mauritius,12440.112,t
2021,380,Italy,7.8,t
2021,364,Iran,1.5,t
2021,344,"China, Hong Kong SAR",3033.3689999999997,t
2021,0,World,66414.7134,t
2021,699,India,4666.0644,t
2022,784,United Arab Emirates,1943.3999999999999,t
2022,842,USA,461.25,t
2022,834,United Rep. of Tanzania,25.8,t
2022,710,South Africa,6207.1698,t
2022,0,World,22381.9194,t
2022,699,India,1266.0305999999998,t
2022,364,Iran,31.799999999999997,t
2022,156,China,11847.369,t
2022,702,Singapore,599.1,t
2023,784,United Arab Emirates,439.2,t
2023,710,South Africa,8329.8765,t
2023,699,India,644.77662,t
2023,826,United Kingdom,117.6,t
2023,156,China,2241.4332,t
2023,36,Australia,9.6,t
2023,0,World,11820.92832,t
2023,364,Iran,38.44199999999999,t
2024,716,Zimbabwe,198.40200000000002,t
2024,0,World,40455.755999999994,t
2024,344,"China, Hong Kong SAR",1.5,t
2024,710,South Africa,11880.27,t
2024,699,India,1307.6339999999998,t
2024,156,China,4701.18,t
2024,784,United Arab Emirates,704.1,t
2024,702,Singapore,1954.56,t
2024,480,Mauritius,19158.51,t
2024,36,Australia,8.4,t
2024,826,United Kingdom,541.1999999999999,t
