reporterCode,cmdCode,status,rows,file,message,checked_at
40,282090,downloaded,9,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_40\40_282090_M_2019_partners.csv,,2026-07-15T20:51:20
40,811100,downloaded,15,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_40\40_811100_M_2019_partners.csv,,2026-07-15T20:51:20
31,260200,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_31\31_260200_M_2019_partners.csv,,2026-07-15T20:51:20
31,282010,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_31\31_282010_M_2019_partners.csv,,2026-07-15T20:51:20
31,282090,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_31\31_282090_M_2019_partners.csv,,2026-07-15T20:51:20
31,811100,downloaded,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_31\31_811100_M_2019_partners.csv,,2026-07-15T20:51:20
44,260200,no_data,0,,,2026-07-15T20:51:20
44,282010,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_44\44_282010_M_2019_partners.csv,,2026-07-15T20:51:20
44,282090,no_data,0,,,2026-07-15T20:51:20
44,811100,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_44\44_811100_M_2019_partners.csv,,2026-07-15T20:51:20
48,260200,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_48\48_260200_M_2019_partners.csv,,2026-07-15T20:51:20
48,282010,downloaded,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_48\48_282010_M_2019_partners.csv,,2026-07-15T20:51:20
48,282090,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_48\48_282090_M_2019_partners.csv,,2026-07-15T20:51:20
48,811100,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_48\48_811100_M_2019_partners.csv,,2026-07-15T20:51:20
50,260200,no_data,0,,,2026-07-15T20:51:20
50,282010,no_data,0,,,2026-07-15T20:51:20
50,282090,no_data,0,,,2026-07-15T20:51:20
50,811100,no_data,0,,,2026-07-15T20:51:20
52,260200,no_data,0,,,2026-07-15T20:51:20
52,282010,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_52\52_282010_M_2019_partners.csv,,2026-07-15T20:51:20
52,282090,no_data,0,,,2026-07-15T20:51:20
52,811100,no_data,0,,,2026-07-15T20:51:20
112,260200,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_112\112_260200_M_2019_partners.csv,,2026-07-15T20:51:20
112,282010,downloaded,5,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_112\112_282010_M_2019_partners.csv,,2026-07-15T20:51:20
112,282090,downloaded,8,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_112\112_282090_M_2019_partners.csv,,2026-07-15T20:51:20
112,811100,downloaded,4,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_112\112_811100_M_2019_partners.csv,,2026-07-15T20:51:20
56,260200,downloaded,10,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_56\56_260200_M_2019_partners.csv,,2026-07-15T20:51:23
56,282010,downloaded,11,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_56\56_282010_M_2019_partners.csv,,2026-07-15T20:51:23
56,282090,downloaded,11,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_56\56_282090_M_2019_partners.csv,,2026-07-15T20:51:23
56,811100,downloaded,12,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_56\56_811100_M_2019_partners.csv,,2026-07-15T20:51:23
58,260200,no_data,0,,,2026-07-15T20:51:23
58,282010,no_data,0,,,2026-07-15T20:51:23
58,282090,no_data,0,,,2026-07-15T20:51:23
58,811100,no_data,0,,,2026-07-15T20:51:23
84,260200,no_data,0,,,2026-07-15T20:51:23
84,282010,no_data,0,,,2026-07-15T20:51:23
84,282090,no_data,0,,,2026-07-15T20:51:23
84,811100,no_data,0,,,2026-07-15T20:51:23
204,260200,no_data,0,,,2026-07-15T20:51:23
204,282010,no_data,0,,,2026-07-15T20:51:23
204,282090,no_data,0,,,2026-07-15T20:51:23
204,811100,no_data,0,,,2026-07-15T20:51:23
60,260200,no_data,0,,,2026-07-15T20:51:23
60,282010,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_60\60_282010_M_2019_partners.csv,,2026-07-15T20:51:23
60,282090,no_data,0,,,2026-07-15T20:51:23
60,811100,no_data,0,,,2026-07-15T20:51:23
64,260200,no_data,0,,,2026-07-15T20:51:23
64,282010,no_data,0,,,2026-07-15T20:51:23
64,282090,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_64\64_282090_M_2019_partners.csv,,2026-07-15T20:51:23
64,811100,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_64\64_811100_M_2019_partners.csv,,2026-07-15T20:51:23
68,260200,no_data,0,,,2026-07-15T20:51:23
68,282010,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_68\68_282010_M_2019_partners.csv,,2026-07-15T20:51:23
68,282090,downloaded,7,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_68\68_282090_M_2019_partners.csv,,2026-07-15T20:51:23
68,811100,downloaded,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_68\68_811100_M_2019_partners.csv,,2026-07-15T20:51:23
535,260200,no_data,0,,,2026-07-15T20:51:23
535,282010,no_data,0,,,2026-07-15T20:51:23
535,282090,no_data,0,,,2026-07-15T20:51:23
535,811100,no_data,0,,,2026-07-15T20:51:23
70,260200,downloaded,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_70\70_260200_M_2019_partners.csv,,2026-07-15T20:51:23
70,282010,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_70\70_282010_M_2019_partners.csv,,2026-07-15T20:51:23
70,282090,downloaded,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_70\70_282090_M_2019_partners.csv,,2026-07-15T20:51:23
70,811100,downloaded,6,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_70\70_811100_M_2019_partners.csv,,2026-07-15T20:51:23
72,260200,no_data,0,,,2026-07-15T20:51:23
