Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,1584.9336,t
2020,826,United Kingdom,11.4516,t
2020,702,Singapore,7.569,t
2020,699,India,0.24479999999999996,t
2020,643,Russian Federation,844.4184,t
2020,579,Norway,238.85099999999997,t
2020,458,Malaysia,3.0,t
2020,410,Rep. of Korea,18.1968,t
2020,490,"Other Asia, nes",8.3982,t
2020,344,"China, Hong Kong SAR",22.11,t
2020,246,Finland,20.461199999999998,t
2020,156,China,8.4054,t
2020,124,Canada,49.9878,t
2020,56,Belgium,4.8,t
2020,36,Australia,13.2,t
2020,392,Japan,333.8394,t
2021,458,Malaysia,4.2,t
2021,826,United Kingdom,23.9652,t
2021,710,South Africa,475.4136,t
2021,643,Russian Federation,121.839,t
2021,490,"Other Asia, nes",8.5488,t
2021,410,Rep. of Korea,9.399,t
2021,36,Australia,156.5712,t
2021,344,"China, Hong Kong SAR",15.839999999999998,t
2021,251,France,17.409,t
2021,246,Finland,2.64,t
2021,124,Canada,42.6,t
2021,0,World,1401.8328,t
2021,392,Japan,523.407,t
2022,458,Malaysia,18.0,t
2022,826,United Kingdom,1.7999999999999998,t
2022,764,Thailand,1.2011999999999998,t
2022,710,South Africa,10.799999999999999,t
2022,579,Norway,1.3499999999999999,t
2022,490,"Other Asia, nes",7.199999999999999,t
2022,410,Rep. of Korea,6.3,t
2022,392,Japan,47.982,t
2022,380,Italy,0.006,t
2022,251,France,21.601200000000002,t
2022,246,Finland,1.2024,t
2022,156,China,6.0005999999999995,t
2022,124,Canada,66.0,t
2022,36,Australia,78.0,t
2022,0,World,267.4434,t
2023,710,South Africa,3.594,t
2023,579,Norway,4.2,t
2023,490,"Other Asia, nes",3.7571999999999997,t
2023,458,Malaysia,1.7999999999999998,t
2023,392,Japan,52.965,t
2023,380,Italy,0.003,t
2023,276,Germany,0.003,t
2023,410,Rep. of Korea,11.0478,t
2023,246,Finland,7.199999999999999,t
2023,156,China,5.9963999999999995,t
2023,124,Canada,65.39999999999999,t
2023,56,Belgium,6.0,t
2023,36,Australia,26.3982,t
2023,0,World,198.56459999999998,t
2023,251,France,10.2,t
2024,702,Singapore,0.06,t
2024,579,Norway,2.4,t
2024,490,"Other Asia, nes",4.8,t
2024,410,Rep. of Korea,19.6308,t
2024,392,Japan,66.0492,t
2024,344,"China, Hong Kong SAR",0.6,t
2024,156,China,21.734399999999997,t
2024,246,Finland,9.6,t
2024,124,Canada,54.0,t
2024,56,Belgium,6.0,t
2024,0,World,192.07859999999997,t
2024,710,South Africa,7.199999999999999,t
2024,276,Germany,0.0012,t
2024,764,Thailand,0.003,t
