typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWeight,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,699,IND,India,M,Import,0,W00,World,0,W00,World,H5,HS,True,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2749786151.513,True,-1,N/A,0.0,False,2749786151.513,True,,False,744386917.213,,744386917.213,0,False,True
C,A,20180101,2018,52,2018,699,IND,India,M,Import,24,AGO,Angola,0,W00,World,H5,HS,True,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,4894000.0,False,8,kg,4894000.0,False,4894000.0,False,,False,1939902.393,,1939902.393,0,True,False
C,A,20180101,2018,52,2018,699,IND,India,M,Import,36,AUS,Australia,0,W00,World,H5,HS,True,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,263975300.0,False,8,kg,263975300.0,False,263975300.0,False,,False,87045798.047,,87045798.047,0,True,False
C,A,20180101,2018,52,2018,699,IND,India,M,Import,76,BRA,Brazil,0,W00,World,H5,HS,True,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,183264510.0,False,8,kg,183264510.0,False,183264510.0,False,,False,50461593.517,,50461593.517,0,True,False
C,A,20180101,2018,52,2018,699,IND,India,M,Import,156,CHN,China,0,W00,World,H5,HS,True,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,100000.0,False,8,kg,100000.0,False,100000.0,False,,False,44974.652,,44974.652,0,True,False
C,A,20180101,2018,52,2018,699,IND,India,M,Import,178,COG,Congo,0,W00,World,H5,HS,True,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2023000.0,False,8,kg,2023000.0,False,2023000.0,False,,False,733449.342,,733449.342,0,True,False
C,A,20180101,2018,52,2018,699,IND,India,M,Import,180,COD,Dem. Rep. of the Congo,0,W00,World,H5,HS,True,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2682000.0,False,8,kg,2682000.0,False,2682000.0,False,,False,1035913.123,,1035913.123,0,True,False
C,A,20180101,2018,52,2018,699,IND,India,M,Import,251,FRA,France,0,W00,World,H5,HS,True,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,29450000.0,False,8,kg,29450000.0,False,29450000.0,False,,False,9272456.21,,9272456.21,0,True,False
C,A,20180101,2018,52,2018,699,IND,India,M,Import,266,GAB,Gabon,0,W00,World,H5,HS,True,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,253935080.0,False,8,kg,253935080.0,False,253935080.0,False,,False,57275927.191,,57275927.191,0,True,False
C,A,20180101,2018,52,2018,699,IND,India,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,93.0,False,8,kg,93.0,False,93.0,False,,False,357.73,,357.73,0,True,False
