typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20240101,2024,52,2024,276,DEU,Germany,M,Import,490,S19,"Other Asia, nes",0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,123305.775,True,-1,N/A,0,False,123305.775,True,0,False,518459.209,,518459.209,6,False,True
C,A,20240101,2024,52,2024,276,DEU,Germany,M,Import,528,NLD,Netherlands,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,106018.0,False,8,kg,106018,False,106018.0,False,0,False,231534.268,,231534.268,0,False,True
C,A,20240101,2024,52,2024,276,DEU,Germany,M,Import,608,PHL,Philippines,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,104050.0,False,8,kg,104050,False,104050.0,False,0,False,474214.783,,474214.783,0,False,True
C,A,20240101,2024,52,2024,276,DEU,Germany,M,Import,616,POL,Poland,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,57667.0,False,8,kg,57667,False,57667.0,False,0,False,157375.107,,157375.107,0,False,True
C,A,20240101,2024,52,2024,276,DEU,Germany,M,Import,643,RUS,Russian Federation,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,74.287,True,-1,N/A,0,False,74.287,True,0,False,1100.269,,1100.269,6,False,True
C,A,20240101,2024,52,2024,276,DEU,Germany,M,Import,699,IND,India,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,48085.508,True,-1,N/A,0,False,48085.508,True,0,False,316511.692,,316511.692,6,False,True
C,A,20240101,2024,52,2024,276,DEU,Germany,M,Import,705,SVN,Slovenia,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9116.0,False,8,kg,9116,False,9116.0,False,0,False,41332.381,,41332.381,0,False,True
C,A,20240101,2024,52,2024,276,DEU,Germany,M,Import,724,ESP,Spain,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,289492.343,True,-1,N/A,0,False,289492.343,True,0,False,795678.732,,795678.732,6,False,True
C,A,20240101,2024,52,2024,276,DEU,Germany,M,Import,752,SWE,Sweden,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,96004.0,False,8,kg,96004,False,96004.0,False,0,False,244311.008,,244311.008,0,False,True
C,A,20240101,2024,52,2024,276,DEU,Germany,M,Import,757,CHE,Switzerland,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,37205.978,True,-1,N/A,0,False,37205.978,True,0,False,205388.739,,205388.739,6,False,True
C,A,20240101,2024,52,2024,276,DEU,Germany,M,Import,784,ARE,United Arab Emirates,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,361.0,False,8,kg,361,False,361.0,False,0,False,18060.126,,18060.126,0,False,True
C,A,20240101,2024,52,2024,276,DEU,Germany,M,Import,792,TUR,Türkiye,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20026.148,True,-1,N/A,0,False,20026.148,True,0,False,47272.785,,47272.785,6,False,True
C,A,20240101,2024,52,2024,276,DEU,Germany,M,Import,818,EGY,Egypt,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.34,True,-1,N/A,0,False,0.34,True,0,False,1.048,,1.048,6,False,True
C,A,20240101,2024,52,2024,276,DEU,Germany,M,Import,826,GBR,United Kingdom,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,183046.33,True,-1,N/A,0,False,183046.33,True,0,False,713989.541,,713989.541,6,False,True
C,A,20240101,2024,52,2024,276,DEU,Germany,M,Import,842,USA,USA,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,309600.371,True,-1,N/A,0,False,309600.371,True,0,False,1913017.366,,1913017.366,6,False,True
