typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20240101,2024,52,2024,579,NOR,Norway,M,Import,0,W00,World,0,W00,World,H6,HS,True,282010,Manganese dioxide,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22000.0,False,8,kg,22000.0,False,22000.0,False,0.0,False,40533.662,,40533.662,0,False,True
C,A,20240101,2024,52,2024,579,NOR,Norway,M,Import,76,BRA,Brazil,0,W00,World,H6,HS,True,282010,Manganese dioxide,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,472.0,False,8,kg,472.0,False,472.0,False,0.0,False,3144.567,,3144.567,0,False,True
C,A,20240101,2024,52,2024,579,NOR,Norway,M,Import,208,DNK,Denmark,0,W00,World,H6,HS,True,282010,Manganese dioxide,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15000.0,False,8,kg,15000.0,False,15000.0,False,0.0,False,14929.786,,14929.786,0,False,True
C,A,20240101,2024,52,2024,579,NOR,Norway,M,Import,276,DEU,Germany,0,W00,World,H6,HS,True,282010,Manganese dioxide,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2004.0,False,8,kg,2004.0,False,2004.0,False,0.0,False,7171.523,,7171.523,0,False,True
C,A,20240101,2024,52,2024,579,NOR,Norway,M,Import,380,ITA,Italy,0,W00,World,H6,HS,True,282010,Manganese dioxide,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3000.0,False,8,kg,3000.0,False,3000.0,False,0.0,False,8020.876,,8020.876,0,False,True
C,A,20240101,2024,52,2024,579,NOR,Norway,M,Import,528,NLD,Netherlands,0,W00,World,H6,HS,True,282010,Manganese dioxide,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1250.0,False,8,kg,1250.0,False,1250.0,False,0.0,False,3402.156,,3402.156,0,False,True
C,A,20240101,2024,52,2024,579,NOR,Norway,M,Import,752,SWE,Sweden,0,W00,World,H6,HS,True,282010,Manganese dioxide,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20.0,False,8,kg,20.0,False,20.0,False,0.0,False,772.765,,772.765,0,False,True
C,A,20240101,2024,52,2024,579,NOR,Norway,M,Import,826,GBR,United Kingdom,0,W00,World,H6,HS,True,282010,Manganese dioxide,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,136.0,False,8,kg,136.0,False,136.0,False,0.0,False,885.459,,885.459,0,False,True
C,A,20240101,2024,52,2024,579,NOR,Norway,M,Import,842,USA,USA,0,W00,World,H6,HS,True,282010,Manganese dioxide,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,118.0,False,8,kg,118.0,False,118.0,False,0.0,False,2206.53,,2206.53,0,False,True
