Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,61.0902924,t
2020,899,"Areas, nes",0.0054272,t
2020,842,USA,0.0005484,t
2020,826,United Kingdom,0.0006936,t
2020,724,Spain,0.00013,t
2020,616,Poland,21.2812868,t
2020,528,Netherlands,0.012657400000000001,t
2020,380,Italy,0.29022,t
2020,348,Hungary,0.203007,t
2020,702,Singapore,2.2e-06,t
2020,276,Germany,6.1875964,t
2020,251,France,0.0023350000000000003,t
2020,208,Denmark,0.10400000000000001,t
2020,203,Czechia,6.140000000000001,t
2020,191,Croatia,6.350576,t
2020,156,China,13.80168,t
2020,56,Belgium,0.4314048,t
2020,40,Austria,6.278700000000001,t
2020,300,Greece,2.76e-05,t
2021,528,Netherlands,0.0155846,t
2021,616,Poland,21.7361,t
2021,699,India,0.00064,t
2021,702,Singapore,3.5e-06,t
2021,842,USA,0.00012848,t
2021,724,Spain,0.09625,t
2021,804,Ukraine,5.999999999999999e-06,t
2021,826,United Kingdom,0.006733200000000001,t
2021,380,Italy,4.4206966,t
2021,705,Slovenia,0.5,t
2021,348,Hungary,0.922,t
2021,203,Czechia,7.607200000000001,t
2021,276,Germany,7.9423884,t
2021,251,France,0.021098220000000004,t
2021,208,Denmark,0.182,t
2021,191,Croatia,5.0414,t
2021,156,China,4.6145194,t
2021,76,Brazil,3.7800000000000002,t
2021,56,Belgium,0.42474100000000004,t
2021,40,Austria,12.6353,t
2021,0,World,69.94681712,t
2021,300,Greece,2.7719999999998e-05,t
2022,528,Netherlands,0.004013159999999998,t
2022,616,Poland,19.2969,t
2022,642,Romania,1.0000000000000002e-06,t
2022,702,Singapore,9.600000000000001e-07,t
2022,842,USA,0.02033734,t
2022,724,Spain,0.00015,t
2022,792,Türkiye,0.44,t
2022,826,United Kingdom,7.000000000000001e-05,t
2022,372,Ireland,0.0053,t
2022,705,Slovenia,0.5014080000000001,t
2022,348,Hungary,1.0044199999999999,t
2022,380,Italy,16.4471864,t
2022,251,France,0.05007140000000001,t
2022,276,Germany,2.8987594000000003,t
2022,40,Austria,8.6736,t
2022,56,Belgium,0.0250535,t
2022,124,Canada,0.008,t
2022,156,China,6.4847,t
2022,0,World,76.09639316,t
2022,203,Czechia,15.828420000000001,t
2022,208,Denmark,0.2848,t
2022,246,Finland,2.0000000000000003e-06,t
2022,191,Croatia,4.1232,t
2023,380,Italy,31.791375400000003,t
2023,807,North Macedonia,4e-05,t
2023,792,Türkiye,0.04,t
2023,724,Spain,0.09684,t
2023,842,USA,0.027102199999999996,t
2023,699,India,0.005,t
2023,616,Poland,24.330700000000004,t
2023,528,Netherlands,0.025144899999999998,t
2023,458,Malaysia,0.04,t
2023,372,Ireland,0.009000000000000001,t
2023,702,Singapore,1.8200000000000002e-06,t
2023,300,Greece,0.0008,t
2023,276,Germany,3.1254112199999997,t
2023,251,France,0.0440662,t
2023,208,Denmark,0.1908,t
2023,203,Czechia,12.50078,t
2023,191,Croatia,5.467046000000001,t
2023,156,China,36.698509,t
2023,56,Belgium,0.020407500000000002,t
2023,40,Austria,11.99492,t
2023,0,World,126.86798424000001,t
2023,348,Hungary,0.46004,t
2024,458,Malaysia,0.02,t
2024,528,Netherlands,0.02513674,t
2024,616,Poland,17.33116352,t
2024,688,Serbia,0.0204,t
2024,752,Sweden,0.462,t
2024,702,Singapore,2.54e-06,t
2024,705,Slovenia,0.004,t
2024,724,Spain,0.00068436,t
2024,380,Italy,22.728019,t
2024,699,India,0.002,t
2024,372,Ireland,0.022501000000000004,t
2024,208,Denmark,0.2544,t
2024,300,Greece,0.0444,t
2024,276,Germany,3.656291,t
2024,251,France,0.022309420000000003,t
2024,203,Czechia,10.774280000000001,t
2024,191,Croatia,5.396459999999999,t
2024,156,China,42.842020000000005,t
2024,56,Belgium,0.0402854,t
2024,40,Austria,3.4411344199999996,t
2024,0,World,107.38904050000001,t
2024,826,United Kingdom,4e-05,t
2024,348,Hungary,0.3012,t
2024,842,USA,0.00031309999999999997,t
