typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWeight,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,404,KEN,Kenya,M,Import,0,W00,World,0,W00,World,H4,HS,True,282010,Manganese dioxide,6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2775412.0,False,8,kg,2775412.0,False,2775412.0,False,0.0,False,1716576.041,,1716576.041,0,False,True
C,A,20180101,2018,52,2018,404,KEN,Kenya,M,Import,156,CHN,China,0,W00,World,H4,HS,True,282010,Manganese dioxide,6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2497366.0,False,8,kg,2497366.0,False,2497366.0,False,0.0,False,1637288.386,,1637288.386,0,True,False
C,A,20180101,2018,52,2018,404,KEN,Kenya,M,Import,699,IND,India,0,W00,World,H4,HS,True,282010,Manganese dioxide,6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,278046.0,False,8,kg,278046.0,False,278046.0,False,0.0,False,79287.655,,79287.655,0,True,False
