typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,528,NLD,Netherlands,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5140.0,False,8,kg,5140,False,5140.0,False,0,False,47935.398,,47935.398,0,False,True
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,579,NOR,Norway,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,373.0,False,8,kg,373,False,373.0,False,0,False,1509.277,,1509.277,0,False,True
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,608,PHL,Philippines,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16196.0,False,8,kg,16196,False,16196.0,False,0,False,301147.689,,301147.689,0,False,True
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,616,POL,Poland,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,37500.0,False,8,kg,37500,False,37500.0,False,0,False,82374.817,,82374.817,0,False,True
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,699,IND,India,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5020.0,False,8,kg,5020,False,5020.0,False,0,False,167655.309,,167655.309,0,False,True
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,705,SVN,Slovenia,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,41.0,False,8,kg,41,False,41.0,False,0,False,1525.765,,1525.765,0,False,True
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,710,ZAF,South Africa,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5.0,False,8,kg,5,False,5.0,False,0,False,17122.05,,17122.05,0,False,True
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,724,ESP,Spain,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2445.0,False,8,kg,2445,False,2445.0,False,0,False,33115.313,,33115.313,0,False,True
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,757,CHE,Switzerland,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,452.209,True,-1,N/A,0,False,452.209,True,0,False,1527.033,,1527.033,6,False,True
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,784,ARE,United Arab Emirates,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,145.0,False,8,kg,145,False,145.0,False,0,False,3697.095,,3697.095,0,False,True
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,792,TUR,Türkiye,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,88000.0,False,8,kg,88000,False,88000.0,False,0,False,304608.879,,304608.879,0,False,True
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,826,GBR,United Kingdom,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,17.0,False,8,kg,17,False,17.0,False,0,False,27893.722,,27893.722,0,False,True
C,A,20240101,2024,52,2024,826,GBR,United Kingdom,M,Import,842,USA,USA,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3321286.404,True,-1,N/A,0,False,3321286.404,True,0,False,10729525.023,,10729525.023,6,False,True
